"","a1","a2","b","gamma11","gamma21","gamma31","gamma12","gamma22","gamma32","beta1","beta2","beta3"
"Item1",2.331820461907,0,0.186983440659211,0,0,0,0,0,0,0,0,0
"Item2",0,2.42325558364247,-1.14820340654131,0,0,0,0,0,0,0,0,0
"Item3",2.03014128295654,0,0.781708690838293,0,0,0,0,0,0,0,0,0
"Item4",2.67037580719601,0,-2.35951022426588,-1.19485251550845,-1.55521710793838,-1.19723834450432,0,0,0,1.20606658736745,1.38952992629556,1.57687333926869
"Item5",1.60108115070166,0,0.173843741122415,0,0,0,0,0,0,0.867098637400489,1.13564581923211,1.29853875758224
"Item6",2.22610463125183,0,-3.12927312408378,0,0,0,0,0,0,0,0,0
"Item7",1.93604297449115,0,-0.313565228547564,0,0,0,0,0,0,0,0,0
"Item8",2.1102228818896,0,-0.404589474252926,0,0,0,0,0,0,0,0,0
"Item9",1.79566910160924,0,0.981250088008625,0,0,0,0,0,0,0,0,0
"Item10",1.84901302820543,0,1.28074053537185,0,0,0,0,0,0,0,0,0
"Item11",1.67003775717659,0,0.789363231763322,0,0,0,0,0,0,0,0,0
"Item12",0,2.1942497703773,1.00120358255167,0,0,0,0,-0.894166480419984,-0.923260006368743,1.10032964726625,0.867472892548294,1.20650438543389
"Item13",0,2.22189257613087,-0.445777768010184,0,0,0,-1.06620229422713,-1.45773221413633,-1.64707575036355,0.696560709201115,1.03318858108046,1.24365174337909
"Item14",0,2.12507922487963,-0.95189117769688,0,0,0,0,0,0,0,0,0
"Item15",0,1.89661100212536,-0.158129993553863,0,0,0,0,0,0,0,0,0
"Item16",0,1.83648349200492,0.232828650818098,0,0,0,0,0,0,0,0,0
"Item17",0,1.85846526528575,1.7838319956448,0,0,0,0,0,0,0,0,0
"Item18",0,2.00249716952601,0.0211697964060891,0,0,0,0,0,0,0,0,0
"Item19",0,2.31725469337403,-1.73420507736195,0,0,0,0,0,0,0,0,0
"Item20",0,2.23021826986387,-0.596161228278393,0,0,0,0,0,0,0,0,0
