"","a1","a2","b","gamma11","gamma12","beta1"
"Item1",1.84810303779323,0,0.0612454153209379,0,0,0
"Item2",0,2.35354871367713,-1.22516442672126,0,0,0
"Item3",1.91200115735469,0,0.677264170235121,0,0,0
"Item4",2.42618501583843,0,-2.02576839703231,0,0,0.755029367566974
"Item5",2.05933457452596,0,0.111903368091599,0,0,0.996913602889982
"Item6",2.30209533300467,0,-3.22884591569116,0,0,0
"Item7",1.596197207245,0,-0.227475441199511,0,0,0
"Item8",1.92123876952486,0,-0.517562463816061,0,0,0
"Item9",1.83568711246844,0,1.1837220324912,0,0,-0.524547274579057
"Item10",1.80020737653737,0,1.28601815024778,0,0,0
"Item11",1.83440815250401,0,0.878478226137413,0,0,0
"Item12",0,2.1678500025014,0.667794491000869,0,0,0.711277309702448
"Item13",0,1.61638081470738,-0.510270411744734,0,0,0.835434025145476
"Item14",0,2.19728604937624,-0.92238767385318,0,0,0
"Item15",0,2.32028703971979,-0.275311637012213,0,0,0
"Item16",0,1.55547831701288,0.0775233300875136,0,0,0
"Item17",0,1.9501113282597,1.47711830460576,0,0,0
"Item18",0,2.17955032898587,-0.104212999683538,0,0,0
"Item19",0,2.64468130966966,-2.23308191558931,0,0,0
"Item20",0,2.0546391011962,-0.776529552047217,0,0,0
