"","a1","a2","b","gamma11","gamma12","beta1"
"Item1",1.84928840402805,0,0.0506604956691533,0,0,0
"Item2",0,2.3549065962664,-1.24074469042785,0,0,0
"Item3",1.91308867062323,0,0.666261401570552,0,0,0
"Item4",2.42842626835349,0,-2.04022485901608,0,0,0.755569867056362
"Item5",2.06056245480905,0,0.100420314977586,0,0,0.995851632006803
"Item6",2.30494874484743,0,-3.24278211891722,0,0,0
"Item7",1.59769891035313,0,-0.236617287914118,0,0,0
"Item8",1.9230406770283,0,-0.528625415876464,0,0,0
"Item9",1.83706135755816,0,1.17395209786845,0,0,-0.525742099877599
"Item10",1.8012464551635,0,1.27566394567478,0,0,0
"Item11",1.83541559262811,0,0.867911608431502,0,0,0
"Item12",0,2.16805063279383,0.654787891236118,0,0,0.708761459767362
"Item13",0,1.61690018682463,-0.519953407144535,0,0,0.833705857304688
"Item14",0,2.1978862221398,-0.936705416168221,0,0,0
"Item15",0,2.32144498369374,-0.29051301550634,0,0,0
"Item16",0,1.5558917769643,0.0674135899086919,0,0,0
"Item17",0,1.95038297933667,1.46438354764634,0,0,0
"Item18",0,2.17997421484365,-0.118436019010582,0,0,0
"Item19",0,2.64516258294115,-2.25008311075541,0,0,0
"Item20",0,2.05536639737821,-0.789955476646553,0,0,0
